Rank,Player ID,Player Name,Total Earnings,Highest Paying Game
1.,OWNER,Md. Milon Hossain Munna,"$12,050.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
2.,AHNAF,N/A,"$10,000.00",Free Fire
2.,ALVI,N/A,"$10,000.00",Free Fire
2.,MARUF,N/A,"$10,000.00",Free Fire
2.,SHUVO,N/A,"$10,000.00",Free Fire
6.,6NiN3,Abu Hasnat Alavi,"$9,675.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
6.,DANTE,Naoman Al Rafid Durlov,"$9,675.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
6.,RxJax,Shah Hasanuzzaman Ovi,"$9,675.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
6.,Shoikot,Shiraj Ud Dowla,"$9,675.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
6.,SiNiSTER,MD Abdul Jabbar Shakil,"$9,675.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
11.,DolaN,Rad Raowaha,"$8,515.00",Brawlhalla
12.,HasibWantsPeace,Hasib Arman,"$8,328.57",Rainbow Six Siege
13.,Fear,Ayman Islam,"$7,541.67",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
13.,MEMO,Maher Mohammed,"$7,541.67",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
15.,Shafin,Shafin Ahmed,"$6,770.83",Brawl Stars
16.,Mii7,Arham Khan,"$6,328.57",Rainbow Six Siege
17.,STEELSHOT,Abu Ifran Arib,"$6,000.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
18.,FATAR,Fardin Tahsin,"$5,661.90",Rainbow Six Siege
19.,TaHa,Md Khaled,"$5,595.24",Rainbow Six Siege
20.,Sparko,Tasabbir Easraq,"$5,536.90",Rainbow Six Siege
21.,HUNGRYBOX,MD Ekramuzzaman,"$5,050.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
22.,Si Anik,N/A,"$5,000.00",Street Fighter 6
23.,Badrev,Debaindra Talukder Revan,"$4,625.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
24.,Ahmad,N/A,"$4,000.00",Clash of Clans
24.,SSRafat,Sajid Siddique Rafat,"$4,000.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
26.,Poseidon,Sudwipto Mondal,"$3,508.33",Rainbow Six Siege
27.,TASHAN SHAWON,N/A,"$3,333.33",Clash of Clans
28.,Kapshi,Aminul Haque Rahat,"$3,075.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
29.,NIGHTWING,Aditya Talukder,"$3,000.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
30.,Dictator,N/A,"$2,925.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
31.,TAMMIM,N/A,"$2,825.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
32.,lllRaihanlll,N/A,"$2,300.00",Street Fighter 6
33.,EVILEYE,Rituraj Bhuiya,"$2,200.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
34.,DETRON,MD Rad Shahamat Al Mubin,"$2,125.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
35.,SnoowW,Shawon Jo,"$2,019.04",Rainbow Six Siege
36.,Din,N/A,"$2,000.00",Rainbow Six Siege
36.,ZAHID IK,N/A,"$2,000.00",Clash of Clans
38.,Frypan,Abyaz Islam,"$1,750.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
38.,Void,Ibn Imtiaz,"$1,750.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
40.,Mamba,N/A,"$1,450.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
41.,Sinstar,Atiqur Pranto,"$1,333.33",Rainbow Six Siege
42.,Animal,N/A,"$1,267.08",Dota 2
42.,J1N,Sunnun Crorie,"$1,267.08",Dota 2
44.,BLADE,N/A,"$1,250.00",Free Fire
44.,FLICKER,N/A,"$1,250.00",Free Fire
44.,KUTTUSH,N/A,"$1,250.00",Free Fire
44.,NEJAD,N/A,"$1,250.00",Free Fire
44.,SHUVO,Fazlul Karim Shuvo,"$1,250.00",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
49.,Baadshah_Miya,N/A,"$1,200.00",Street Fighter 6
50.,L3N,N/A,"$1,111.14",Dota 2
51.,Ayan,Muhtasim Haque,"$1,083.33",Rainbow Six Siege
52.,Ahrar,N/A,"$1,000.00",Dota 2
52.,Dskun,N/A,"$1,000.00",Dota 2
54.,Fahim,N/A,$937.50,Brawl Stars
55.,DAFT,N/A,$850.00,Rainbow Six Siege
56.,9Tdegree,N/A,$750.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
56.,Madcat,N/A,$750.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
56.,Nayeem,N/A,$750.00,Free Fire
59.,DEaThStorM,N/A,$700.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
59.,MACHINE,N/A,$700.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
59.,Naruto,N/A,$700.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
59.,RareX,N/A,$700.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
59.,XOXOX,N/A,$700.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
64.,CaptainZolo,Shihab Imtiaz,$692.09,VALORANT
65.,c Minor,N/A,$666.67,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
65.,Entry,N/A,$666.67,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
65.,MagneT,N/A,$666.67,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
65.,OneShoT,N/A,$666.67,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
65.,Sharp x,N/A,$666.67,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
65.,TowFik,N/A,$666.67,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
71.,kabbo,Kabbo Razzaque,$600.00,Rocket League
72.,kbkhan91,Kaykobad Khan,$500.00,Chess.com
73.,SSSami,Sami Ar Rahman,$460.27,VALORANT
74.,Hermione,N/A,$453.55,VALORANT
74.,Kyojin,Shihab Saikat,$453.55,VALORANT
74.,M1SYL,N/A,$453.55,VALORANT
74.,RozsteR,N/A,$453.55,VALORANT
78.,rib,N/A,$437.50,Overwatch
79.,ME_Mosharrof,Mosharrof Hossain,$400.00,Chess.com
80.,Dom1n1c,N/A,$375.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
81.,CLOSER,N/A,$267.08,Dota 2
81.,Deaths,N/A,$267.08,Dota 2
83.,Tear,Tanvir Rehman,$250.00,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
84.,araf29,N/A,$239.50,EV.IO
84.,mahide84,N/A,$239.50,EV.IO
86.,Chanchal Kumer Ghosh,Chanchal Kumer Ghosh,$210.71,chessarena.com
87.,[F]raG_YoU,Lamit Chowdhury,$207.35,Counter-Strike: Global Offensive
88.,Ashiq,N/A,$200.00,Clash of Clans
88.,Battaash,N/A,$200.00,Rocket League
88.,Dark,N/A,$200.00,Rocket League
88.,Rakibul,N/A,$200.00,Clash of Clans
88.,Sable,N/A,$200.00,VALORANT
93.,DeDli,N/A,$181.42,VALORANT
93.,Doomsday,N/A,$181.42,VALORANT
93.,MufinSenpai,N/A,$181.42,VALORANT
93.,Savage,N/A,$181.42,VALORANT
93.,SpeX,N/A,$181.42,VALORANT
98.,LEN,N/A,$155.94,Dota 2
99.,HaTecrew,Ibne Khalid Pranto,$142.33,Counter-Strike: Global Offensive
99.,XntRic,Tushar Khan,$142.33,Counter-Strike: Global Offensive
